Rk,Player,Week,Team,Opp,Gms,QB Pts,RB Pts,WR Pts,TE Pts,K Pts,Fpts
1,Philadelphia Eagles,11,PHI,DAL,1,1.8,10.2,22.3,1.2,0,35.5
2,Jacksonville Jaguars,11,JAX,CLE,1,7.4,17.4,14.5,2.8,0,42.1
3,Baltimore Ravens,11,BAL,GB,1,6.5,11.3,24.9,1.8,0,44.5
4,Minnesota Vikings,11,MIN,LAR,1,9.8,13.1,26.3,2.3,0,51.5
5,Cleveland Browns,11,CLE,JAX,1,8.6,16.2,15.9,11.3,0,52
6,Kansas City Chiefs,11,KC,NYG,1,8.7,22,19.8,3.7,0,54.2
7,New York Giants,11,NYG,KC,1,9.9,15.5,15.2,15.5,0,56.1
8,Green Bay Packers,11,GB,BAL,1,10.2,22.1,19,6.1,0,57.4
9,Denver Broncos,11,DEN,CIN,1,18.6,6.8,30.4,8.2,0,64
10,New England Patriots,11,NE,OAK,1,14.5,18.1,31,5.5,0,69.1
11,Seattle Seahawks,11,SEA,ATL,1,17,17,24.7,11,0,69.7
12,Pittsburgh Steelers,11,PIT,TEN,1,18.7,10.4,29.2,12.2,0,70.5
13,Cincinnati Bengals,11,CIN,DEN,1,15.6,23.6,24.2,7.9,0,71.3
14,Los Angeles Chargers,11,LAC,BUF,1,16.2,33.7,18.8,5.5,0,74.2
15,Miami Dolphins,11,MIA,TB,1,19.9,12.1,28.4,14.4,0,74.8
16,Detroit Lions,11,DET,CHI,1,14.5,34.7,15,12.1,0,76.3
17,Chicago Bears,11,CHI,DET,1,18.3,14.9,34.9,8.3,0,76.4
18,Houston Texans,11,HOU,ARI,1,21.6,10.3,27.5,20.4,0,79.8
19,Tampa Bay Buccaneers,11,TB,MIA,1,19.7,12.6,46.6,5,0,83.9
20,Arizona Cardinals,11,ARI,HOU,1,14.5,37.8,27.8,5.5,0,85.6
21,Atlanta Falcons,11,ATL,SEA,1,31.9,14.9,24.8,18.2,0,89.8
22,Los Angeles Rams,11,LAR,MIN,1,17.2,31.4,33.9,9.3,0,91.8
23,Dallas Cowboys,11,DAL,PHI,1,20,38.4,28.5,7.1,0,94
24,Buffalo Bills,11,BUF,LAC,1,19.1,28.7,45.4,5.7,0,98.9
25,Oakland Raiders,11,OAK,NE,1,25.6,23.8,40.5,11.6,0,101.5
26,Tennessee Titans,11,TEN,PIT,1,28.7,16,48.1,10.6,0,103.4
27,New Orleans Saints,11,NO,WAS,1,26,28.9,34.8,18,0,107.7
28,Washington Redskins,11,WAS,NO,1,22.6,45.8,25.4,17.6,0,111.4
