Rk,Player,Week,Team,Opp,Gms,QBPts,RBPts,WRPts,TEPts,KPts,Fpts
1,HoustonTexans,4,HOU,TEN,1,14.6,5.5,9.3,6.6,0,36
2,NewOrleansSaints,4,NO,MIA,1,6.1,8.1,19.7,3.9,0,37.8
3,CincinnatiBengals,4,CIN,CLE,1,7.3,19.9,15.6,2.8,0,45.6
4,DetroitLions,4,DET,MIN,1,8.8,13.8,18.7,6.1,0,47.4
5,SeattleSeahawks,4,SEA,IND,1,10.6,17.4,15.9,8.9,0,52.8
6,AtlantaFalcons,4,ATL,BUF,1,12.5,15.2,11.8,13.7,0,53.2
7,ArizonaCardinals,4,ARI,SF,1,8.7,18.3,21.8,4.5,0,53.3
8,NewYorkJets,4,NYJ,JAX,1,12.4,30.7,10.5,0,0,53.6
9,DenverBroncos,4,DEN,OAK,1,13,7.3,28.2,8.6,0,57.1
10,OaklandRaiders,4,OAK,DEN,1,11.3,19.8,10.8,15.5,0,57.4
11,MinnesotaVikings,4,MIN,DET,1,10.1,20.1,16.6,11.7,0,58.5
12,GreenBayPackers,4,GB,CHI,1,6.7,22.7,25.1,6.8,0,61.3
13,PittsburghSteelers,4,PIT,BAL,1,11.4,12.9,25.4,12.9,0,62.6
14,KansasCityChiefs,4,KC,WAS,1,20.6,6.2,26.6,13.5,0,66.9
15,BuffaloBills,4,BUF,ATL,1,10.5,32.6,18.4,11.1,0,72.6
16,JacksonvilleJaguars,4,JAX,NYJ,1,6,47.1,17.3,6.6,0,77
17,BaltimoreRavens,4,BAL,PIT,1,11.5,35.3,25.2,5.5,0,77.5
18,LosAngelesChargers,4,LAC,PHI,1,15.1,35,19.1,10.6,0,79.8
19,SanFrancisco49ers,4,SF,ARI,1,17.4,24.2,36.8,2.2,0,80.6
20,MiamiDolphins,4,MIA,NO,1,19,29.2,27.5,4.9,0,80.6
21,DallasCowboys,4,DAL,LAR,1,18.1,32.9,24.5,7.5,0,83
22,WashingtonRedskins,4,WAS,KC,1,27.3,20.1,19,20.9,0,87.3
23,PhiladelphiaEagles,4,PHI,LAC,1,19.9,17,40.6,11.9,0,89.4
24,ChicagoBears,4,CHI,GB,1,23.1,17,42.2,7.4,0,89.7
25,TampaBayBuccaneers,4,TB,NYG,1,27.7,17.4,28,17.3,0,90.4
26,CarolinaPanthers,4,CAR,NE,1,20.5,26.9,35.6,10,0,93
27,LosAngelesRams,4,LAR,DAL,1,23.6,35.5,27.4,10.7,0,97.2
28,NewYorkGiants,4,NYG,TB,1,26.5,14.6,28.2,29.3,0,98.6
29,ClevelandBrowns,4,CLE,CIN,1,28.3,25.3,20,25.5,0,99.1
30,NewEnglandPatriots,4,NE,CAR,1,34,22.6,37.9,7.7,0,102.2
31,IndianapolisColts,4,IND,SEA,1,29.6,13.3,47.1,15.2,0,105.2
32,TennesseeTitans,4,TEN,HOU,1,34.7,32.8,46.8,6.1,0,120.4
