name,team,long,fpts,patm,pata,patmiss,fgm,fga,r019m,r019a,r2029m,22029a,r3039m,r3039a,r4049m,r4049a,r50m,r50a
David Akers,SF,55,166,34,34,0,44,52,2,2,16,16,13,14,6,11,7,9
John Kasay,NO,53,147,63,63,0,28,34,0,0,11,11,10,10,5,8,2,5
Stephen Gostkowski,NE,50,143,59,59,0,28,33,1,1,12,13,5,6,9,11,1,2
Mason Crosby,GB,58,140,68,69,1,24,28,1,1,4,5,14,14,3,5,2,3
Dan Bailey,Dal,51,135,39,39,0,32,37,1,1,8,9,11,11,10,12,2,4
Neil Rackers,Hou,54,135,39,40,1,32,38,0,0,14,14,10,11,4,8,4,5
Mike Nugent,Cin,49,132,33,34,1,33,38,0,0,14,14,5,8,14,16,0,0
Sebastian Janikowski,Oak,63,129,36,36,0,31,35,1,1,8,8,5,5,10,11,7,10
Matt Bryant,Atl,51,126,45,45,0,27,29,2,2,9,9,9,9,5,7,2,2
Jason Hanson,Det,51,126,54,54,0,24,29,0,0,9,9,8,9,2,4,5,7
Billy Cundiff,Bal,51,122,38,38,0,28,37,1,1,9,9,10,12,7,9,1,6
Nick Novak,SD,53,122,41,42,1,27,34,0,0,11,11,4,5,8,11,4,7
Rob Bironas,Ten,53,121,34,34,0,29,32,0,0,5,5,9,10,9,10,6,7
Robbie Gould,Chi,57,121,37,37,0,28,32,0,0,10,10,6,6,6,10,6,6
Graham Gano,Was,59,118,25,26,1,31,41,0,0,14,15,5,9,8,11,4,6
Alex Henery,Phi,51,118,46,46,0,24,27,0,0,10,10,9,11,4,4,1,2
Dan Carpenter,Mia,58,113,26,26,0,29,34,0,0,10,11,6,7,11,12,2,4
Olindo Mare,Car,45,110,44,45,1,22,28,1,1,7,7,6,9,8,9,0,2
Stephen Hauschka,Sea,52,109,34,34,0,25,30,2,2,5,6,9,10,7,8,2,4
Shaun Suisham,Pit,51,105,36,36,0,23,31,2,2,8,8,6,8,6,11,1,2
Ryan Longwell,Min,53,104,38,39,1,22,28,0,0,7,7,7,8,6,10,2,3
Connor Barth,TB,55,101,23,23,0,26,28,0,0,5,5,6,6,13,14,2,3
Nick Folk,NYJ,51,101,44,44,0,19,25,0,0,5,6,6,6,5,7,3,6
Lawrence Tynes,NYG,50,100,43,43,0,19,24,0,0,12,12,3,4,3,5,1,3
Josh Scobee,Jax,55,93,24,24,0,23,25,1,1,5,5,5,5,7,8,5,6
