name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Andrew Luck,Ind,10,422,616,380,4761,40,16,0,64,273,3,0,0,0,0,0,6,0
Aaron Rodgers,GB,9,420,520,341,4381,38,5,1,43,269,2,0,0,0,0,0,2,0
Peyton Manning,Den,4,387,597,395,4727,39,15,2,24,-24,0,0,0,0,0,0,2,0
Ben Roethlisberger,Pit,12,364,608,408,4952,32,9,3,33,27,0,0,0,-6,0,0,5,0
Drew Brees,NO,6,359,659,456,4952,33,17,0,27,68,1,0,1,1,0,0,3,0
Russell Wilson,Sea,0,352,452,285,3475,20,7,0,118,849,6,0,1,17,0,0,0,0
Tom Brady,NE,10,336,582,373,4109,33,9,0,36,57,0,0,0,0,0,0,3,0
Tony Romo,Dal,11,329,435,304,3705,34,9,0,26,61,0,0,0,0,0,0,3,0
Eli Manning,NYG,8,327,601,379,4410,30,14,0,12,31,1,0,0,0,0,0,4,0
Matt Ryan,Atl,9,326,628,415,4694,28,14,1,29,145,0,0,0,0,0,0,2,0
Ryan Tannehill,Mia,5,322,590,392,4045,27,12,0,56,311,1,0,1,-4,0,0,2,0
Philip Rivers,SD,10,318,570,379,4286,31,18,0,37,102,0,0,0,0,0,0,2,0
Jay Cutler,Chi,9,306,561,370,3812,28,18,4,39,191,2,0,0,0,0,0,6,0
Joe Flacco,Bal,11,303,554,344,3986,27,12,0,39,70,2,0,0,0,0,0,0,0
Matthew Stafford,Det,9,284,602,363,4257,22,12,1,43,93,2,0,0,0,0,0,3,0
Cam Newton,Car,12,278,448,262,3127,18,12,1,103,539,5,0,0,0,0,0,5,0
Colin Kaepernick,SF,8,277,478,289,3369,19,10,0,104,639,1,0,0,0,0,0,5,0
Andy Dalton,Cin,4,250,481,309,3398,19,17,1,60,169,4,0,1,18,1,0,2,0
Alex Smith,KC,6,242,464,303,3265,18,6,0,49,254,1,0,0,0,0,0,1,0
Derek Carr,Oak,5,224,599,348,3270,21,12,0,29,92,0,0,0,0,0,0,4,0
Kyle Orton,Buf,9,210,447,287,3018,18,10,1,15,14,1,0,0,0,0,0,3,0
Ryan Fitzpatrick,Hou,10,206,312,197,2483,17,8,0,50,184,2,0,0,0,0,0,1,0
Teddy Bridgewater,Min,10,197,402,259,2919,14,12,2,47,209,1,0,0,0,0,0,0,0
Blake Bortles,Jax,11,178,475,280,2908,11,17,1,56,419,0,0,0,0,0,0,1,0
Brian Hoyer,Cle,4,173,438,242,3326,12,13,0,24,39,0,0,0,0,0,0,1,0
Geno Smith,NYJ,11,168,367,219,2525,13,13,0,59,238,1,0,0,0,0,0,3,0
Mark Sanchez,Phi,7,163,309,198,2418,14,11,0,34,87,1,0,0,0,0,0,3,0
Josh McCown,TB,7,144,327,184,2206,11,14,0,25,127,3,0,0,0,0,0,4,0
Nick Foles,Phi,7,142,311,186,2163,13,10,0,16,68,0,0,0,0,0,0,3,0
Austin Davis,Stl,4,131,284,180,2001,12,9,0,16,36,0,0,0,0,0,0,3,0
Carson Palmer,Ari,4,124,224,141,1626,11,3,0,8,25,0,0,0,0,0,0,1,0
Kirk Cousins,Was,10,108,204,126,1710,10,9,0,7,20,0,0,0,0,0,0,2,0
Mike Glennon,TB,7,104,203,117,1417,10,6,0,10,49,0,0,0,0,0,0,0,0
Shaun Hill,Stl,4,102,229,145,1657,8,7,0,10,10,1,0,1,0,0,0,1,0
Drew Stanton,Ari,4,101,240,132,1711,7,5,1,25,63,0,0,0,0,0,0,0,0
Charlie Whitehurst,Ten,9,96,185,105,1326,7,2,0,20,90,0,0,0,10,0,0,0,0
Robert Griffin III,Was,10,93,214,147,1694,4,6,0,38,176,1,0,0,0,0,0,4,0
Zach Mettenberger,Ten,9,85,179,107,1412,8,7,0,5,4,0,0,0,0,0,0,2,0
Jake Locker,Ten,9,69,146,86,993,5,7,0,22,142,1,0,0,0,0,0,1,0
Colt McCoy,Was,10,67,128,91,1057,4,3,0,16,66,1,0,0,0,0,0,1,0
E.J. Manuel,Buf,9,65,131,76,838,5,3,0,16,52,1,0,0,0,0,0,0,0
Derek Anderson,Car,12,58,97,65,701,5,0,0,8,24,0,0,0,0,0,0,0,0
Michael Vick,NYJ,11,45,121,64,604,3,2,0,26,153,0,0,0,0,0,0,2,0
Chad Henne,Jax,11,34,78,42,492,3,1,0,4,25,0,0,0,0,0,0,1,0
Matt Cassel,Min,10,27,71,41,425,3,4,0,9,18,0,0,0,0,0,0,0,0
Case Keenum,Hou,10,26,77,45,435,2,2,0,10,35,0,0,0,0,0,0,1,0
Ryan Lindley,Ari,4,25,93,45,562,2,4,0,0,0,0,0,0,0,0,0,0,0
Brandon Weeden,Dal,11,24,41,24,303,3,2,0,6,-1,0,0,0,0,0,0,0,0
Ryan Mallett,Hou,10,23,75,41,400,2,2,0,6,-2,0,0,0,0,0,0,0,0
Matt Hasselbeck,Ind,10,22,44,30,301,2,0,0,8,-11,0,0,0,0,0,0,1,0
Jimmy Clausen,Chi,9,17,48,26,223,2,1,0,3,9,0,0,0,0,0,0,0,0
Jimmy Garoppolo,NE,10,12,27,19,182,1,0,0,10,9,0,0,0,0,0,0,0,0
Christian Ponder,Min,10,11,44,22,222,0,2,0,4,16,1,0,0,0,0,0,0,0
Johnny Manziel,Cle,4,10,35,18,175,0,2,0,9,29,1,0,0,0,0,0,0,0
Logan Thomas,Ari,4,9,9,1,81,1,0,0,0,0,0,0,0,0,0,0,0,0
Brock Osweiler,Den,4,7,10,4,52,1,0,0,8,0,0,0,0,0,0,0,0,0
Matt McGloin,Oak,5,7,19,12,129,1,2,0,2,3,0,0,0,0,0,0,0,0
Blaine Gabbert,SF,8,7,7,3,38,1,0,0,1,5,0,0,0,0,0,0,0,0
Chase Daniel,KC,6,7,28,16,157,0,0,0,4,15,0,0,0,0,0,0,0,0
Connor Shaw,Cle,4,4,28,14,177,0,1,0,7,9,0,0,0,0,0,0,1,0
