name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Jamaal Charles,KC,10,297,0,0,0,0,0,0,259,1287,12,0,70,693,7,0,2,0
LeSean McCoy,Phi,12,263,0,0,0,0,0,0,314,1607,9,0,52,539,2,0,1,0
Matt Forte,Chi,8,253,0,0,0,0,0,0,289,1339,9,1,74,594,3,0,2,0
Marshawn Lynch,Sea,12,225,0,0,0,0,0,0,301,1257,12,0,36,316,2,0,1,0
Knowshon Moreno,Den,9,220,0,0,0,0,0,0,241,1038,10,0,60,548,3,0,0,0
Eddie Lacy,GB,4,199,0,0,0,0,0,0,284,1178,11,0,35,257,0,0,1,0
Adrian Peterson,Min,5,197,0,0,0,0,0,0,279,1266,10,0,29,171,1,0,3,0
Chris Johnson,Ten,8,191,0,0,0,0,0,0,279,1077,6,0,42,345,4,0,2,0
DeMarco Murray,Dal,11,190,0,0,0,0,0,0,217,1121,9,0,53,350,1,0,1,0
Reggie Bush,Det,9,178,0,0,0,0,0,0,223,1006,4,0,54,506,3,0,4,0
Ryan Mathews,SD,8,176,0,0,0,0,0,0,285,1255,6,0,26,189,1,0,1,0
Fred Jackson,Buf,12,174,0,0,0,0,0,0,206,890,9,0,47,387,1,0,0,0
Frank Gore,SF,9,169,0,0,0,0,0,0,276,1128,9,0,16,141,0,0,3,0
Alfred Morris,Was,5,164,0,0,0,0,0,0,276,1275,7,0,9,78,0,0,4,0
Le'Veon Bell,Pit,5,161,0,0,0,0,0,0,244,860,8,0,45,399,0,0,1,0
Joique Bell,Det,9,154,0,0,0,0,0,0,166,650,8,0,53,547,0,1,3,0
Zac Stacy,Stl,11,151,0,0,0,0,0,0,250,973,7,0,26,141,1,0,1,0
Giovani Bernard,Cin,12,150,0,0,0,0,0,0,170,695,5,0,56,514,3,0,1,0
Maurice Jones-Drew,Jax,9,135,1,1,8,1,0,0,234,803,5,0,43,314,0,0,1,0
Danny Woodhead,SD,8,134,0,0,0,0,0,0,106,429,2,0,76,605,6,0,2,0
DeAngelo Williams,Car,4,130,0,0,0,0,0,0,201,843,3,0,26,333,1,0,2,0
Rashad Jennings,Oak,7,127,0,0,0,0,0,0,163,733,6,0,36,292,0,0,0,0
Pierre Thomas,NO,7,119,0,0,0,0,0,0,147,549,2,0,77,513,3,0,1,0
Rashard Mendenhall,Ari,9,118,0,0,0,0,0,0,217,687,8,1,18,134,0,0,3,0
Andre Ellington,Ari,9,115,0,0,0,0,0,0,118,652,3,0,39,371,1,0,0,0
Donald Brown,Ind,8,114,0,0,0,0,0,0,102,537,6,0,27,214,2,0,0,0
Stevan Ridley,NE,10,112,0,0,0,0,0,0,178,773,7,0,10,62,0,0,4,0
LeGarrette Blount,NE,10,112,0,0,0,0,0,0,153,772,7,0,2,38,0,0,2,0
C.J. Spiller,Buf,12,111,0,0,0,0,0,0,202,933,2,0,33,185,0,0,1,0
Ray Rice,Bal,8,109,0,0,0,0,0,0,214,660,4,1,58,321,0,0,2,0
BenJarvus Green-Ellis,Cin,12,109,0,0,0,0,0,0,220,756,7,0,4,22,0,0,2,0
Steven Jackson,Atl,6,105,0,0,0,0,0,0,157,543,6,0,33,191,1,0,0,0
Ben Tate,Hou,8,102,0,0,0,0,0,0,181,771,4,0,34,140,0,0,2,0
Trent Richardson,Cle,10,100,0,0,0,0,0,0,188,563,3,0,35,316,1,0,1,0
Chris Ivory,NYJ,10,94,0,0,0,0,0,0,182,833,3,0,2,10,0,0,0,0
Darren Sproles,NO,7,92,0,0,0,0,0,0,53,220,2,0,71,604,2,0,2,0
Bilal Powell,NYJ,10,89,1,1,30,0,0,0,176,697,1,0,36,272,0,0,0,0
Bobby Rainey,Cle,10,88,1,0,0,0,0,0,150,566,5,0,15,46,1,0,1,0
