name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Travis Kelce,KC,5,133,0,0,0,0,0,0,1,-5,0,0,85,1125,4,1,0,0
Greg Olsen,Car,7,121,0,0,0,0,0,0,0,0,0,0,80,1073,3,1,0,0
Kyle Rudolph,Min,6,120,0,0,0,0,0,0,0,0,0,0,83,840,7,0,0,0
Jimmy Graham,Sea,5,120,0,0,0,0,0,0,1,0,0,0,65,923,6,0,2,0
Delanie Walker,Ten,13,117,0,0,0,0,0,0,2,11,0,0,65,800,7,0,0,0
Cameron Brate,TB,6,106,0,0,0,0,0,0,0,0,0,0,57,660,8,0,0,0
Martellus Bennett,NE,9,105,0,0,0,0,0,0,2,10,0,0,55,701,7,0,0,0
Jordan Reed,Was,9,99,0,0,0,0,0,0,0,0,0,0,66,686,6,0,1,0
Zach Ertz,Phi,4,98,0,0,0,0,0,0,0,0,0,0,78,816,4,0,0,0
Hunter Henry,SD,11,91,0,0,0,0,0,0,0,0,0,0,36,478,8,0,1,0
Antonio Gates,SD,11,91,0,0,0,0,0,0,0,0,0,0,53,548,7,0,1,0
Jack Doyle,Ind,10,80,0,0,0,0,0,0,0,0,0,0,59,584,5,0,1,0
Jason Witten,Dal,7,78,0,0,0,0,0,0,0,0,0,0,69,673,3,0,1,0
Coby Fleener,NO,5,78,0,0,0,0,0,0,1,2,1,0,50,631,3,0,0,0
Eric Ebron,Det,10,78,0,0,0,0,0,0,1,1,1,0,61,711,1,0,0,0
Dennis Pitta,Bal,8,77,0,0,0,0,0,0,0,0,0,0,86,729,2,0,1,0
C.J. Fiedorowicz,Hou,9,75,0,0,0,0,0,0,0,0,0,0,54,559,4,0,0,0
Dwayne Allen,Ind,10,74,0,0,0,0,0,0,0,0,0,0,35,406,6,1,0,0
Charles Clay,Buf,10,73,0,0,0,0,0,0,0,0,0,0,57,552,4,0,0,0
Zach Miller,Chi,9,69,0,0,0,0,0,0,0,0,0,0,47,486,4,0,0,0
Rob Gronkowski,NE,9,69,0,0,0,0,0,0,0,0,0,0,25,540,3,0,0,0
Gary Barnidge,Cle,13,68,0,0,0,0,0,0,0,0,0,0,55,612,2,1,0,0
Tyler Eifert,Cin,9,64,0,0,0,0,0,0,0,0,0,0,29,394,5,0,0,0
Vernon Davis,Was,9,64,0,0,0,0,0,0,0,0,0,0,44,583,2,0,0,0
Vance McDonald,SF,8,59,0,0,0,0,0,0,0,0,0,0,24,391,4,0,0,0
Lance Kendricks,LA,8,56,0,0,0,0,0,0,0,0,0,0,50,499,2,0,1,0
Julius Thomas,Jax,5,49,0,0,0,0,0,0,0,0,0,0,30,281,4,0,0,0
Ryan Griffin,Hou,9,49,0,0,0,0,0,0,0,0,0,0,50,442,2,0,1,0
Clive Walford,Oak,10,48,0,0,0,0,0,0,0,0,0,0,33,359,3,0,0,0
Jermaine Gresham,Ari,9,47,0,0,0,0,0,0,0,0,0,0,37,391,2,0,0,0
Dion Sims,Mia,8,45,0,0,0,0,0,0,0,0,0,0,26,256,4,0,0,0
