name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Calvin Johnson,Det,9,255,0,0,0,0,0,0,1,11,0,0,96,1681,16,0,1,0
Jordy Nelson,GB,8,210,0,0,0,0,0,0,0,0,0,0,68,1263,15,0,0,0
Wes Welker,NE,7,206,0,0,0,0,0,0,4,30,0,0,122,1569,9,0,0,0
Victor Cruz,NYG,7,199,0,0,0,0,0,0,1,3,0,0,82,1536,9,0,1,0
Larry Fitzgerald,Ari,6,181,0,0,0,0,0,0,0,0,0,0,80,1411,8,0,0,0
Steve Smith,Car,9,177,0,0,0,0,0,0,6,56,0,0,79,1394,7,1,2,0
Roddy White,Atl,8,172,0,0,0,0,0,0,0,0,0,0,100,1296,8,0,0,0
Mike Wallace,Pit,11,163,0,0,0,0,0,0,5,57,0,0,72,1193,8,0,1,0
Vincent Jackson,SD,6,162,0,0,0,0,0,0,3,51,0,0,60,1106,9,0,0,0
Percy Harvin,Min,9,161,0,0,0,0,0,0,52,345,2,0,87,967,6,0,2,0
Marques Colston,NO,11,155,0,0,0,0,0,0,0,0,0,0,80,1143,8,0,1,0
Hakeem Nicks,NYG,7,154,0,0,0,0,0,0,0,0,0,0,76,1192,7,0,0,0
Brandon Marshall,Mia,5,150,0,0,0,0,0,0,1,13,0,0,81,1214,6,0,1,0
Nate Washington,Ten,6,145,0,0,0,0,0,0,2,5,1,0,74,1023,7,0,0,0
Laurent Robinson,Dal,5,145,0,0,0,0,0,0,0,0,0,0,54,858,11,0,0,0
A.J. Green,Cin,7,144,0,0,0,0,0,0,5,53,0,0,65,1057,7,0,0,0
Greg Jennings,GB,8,143,0,0,0,0,0,0,0,0,0,0,67,949,9,0,0,0
Julio Jones,Atl,8,140,0,0,0,0,0,0,6,56,0,0,54,959,8,0,1,0
Dez Bryant,Dal,5,140,0,0,0,0,0,0,1,5,0,0,63,928,9,0,1,0
Dwayne Bowe,KC,6,137,0,0,0,0,0,0,1,12,0,0,81,1159,5,0,0,0
Stevie Johnson,Buf,7,134,0,0,0,0,0,0,0,0,0,0,76,1004,7,0,0,0
Pierre Garcon,Ind,11,124,0,0,0,0,0,0,4,28,0,0,70,947,6,0,2,0
Torrey Smith,Bal,5,123,0,0,0,0,0,0,4,39,0,0,50,841,7,0,0,0
Brandon Lloyd,Den,6,120,1,0,0,0,0,0,0,0,0,0,70,966,5,0,0,0
Jabar Gaffney,Was,5,118,0,0,0,0,0,0,0,0,0,0,68,947,5,0,1,0
DeSean Jackson,Phi,7,116,0,0,0,0,0,0,7,41,0,0,58,961,4,0,1,0
Antonio Brown,Pit,11,116,0,0,0,0,0,0,7,41,0,0,69,1108,2,0,0,0
Darrius Heyward-Bey,Oak,8,115,0,0,0,0,0,0,0,0,0,0,64,975,4,0,1,0
Reggie Wayne,Ind,11,113,0,0,0,0,0,0,0,0,0,0,75,960,4,0,0,0
Lance Moore,NO,11,110,0,0,0,0,0,0,0,0,0,0,52,627,8,2,0,0
Jeremy Maclin,Phi,7,110,0,0,0,0,0,0,1,1,0,0,63,859,5,0,1,0
Santonio Holmes,NYJ,8,109,0,0,0,0,0,0,3,27,0,0,51,654,8,0,1,0
Malcom Floyd,SD,6,108,0,0,0,0,0,0,0,0,0,0,43,856,5,0,0,0
Michael Crabtree,SF,7,107,0,0,0,0,0,0,1,6,0,0,72,874,4,1,0,0
Eric Decker,Den,6,103,1,0,0,0,0,0,1,1,0,0,44,612,8,0,1,0
Plaxico Burress,NYJ,8,102,0,0,0,0,0,0,0,0,0,0,45,612,8,0,0,0
Anquan Boldin,Bal,5,101,0,0,0,0,0,0,0,0,0,0,57,887,3,0,0,0
James Jones,GB,8,99,0,0,0,0,0,0,0,0,0,0,38,635,7,0,0,0
Doug Baldwin,Sea,6,99,0,0,0,0,0,0,1,-2,0,0,51,788,4,0,0,0
Denarius Moore,Oak,8,98,0,0,0,0,0,0,5,61,1,0,33,618,5,0,0,0
Miles Austin,Dal,5,97,0,0,0,0,0,0,2,3,0,0,43,579,7,0,0,0
Titus Young,Det,9,94,0,0,0,0,0,0,2,15,0,0,48,607,6,1,0,0
Early Doucet,Ari,6,94,0,0,0,0,0,0,0,0,0,0,54,689,5,0,0,0
Nate Burleson,Det,9,93,0,0,0,0,0,0,11,85,0,0,73,757,3,0,1,0
Deion Branch,NE,7,93,0,0,0,0,0,0,0,0,0,0,51,702,5,0,0,0
Robert Meachem,NO,11,92,0,0,0,0,0,0,4,18,0,0,40,620,6,0,0,0
Jerome Simpson,Cin,7,91,0,0,0,0,0,0,0,0,0,0,50,725,4,0,0,0
David Nelson,Buf,7,90,0,0,0,0,0,0,0,0,0,0,61,658,5,0,0,0
Mike Williams,TB,8,87,0,0,0,0,0,0,1,3,0,0,65,771,3,0,2,0
Steve Breaston,KC,6,87,0,0,0,0,0,0,1,25,0,0,61,785,2,0,0,0
Damian Williams,Ten,6,83,0,0,0,0,0,0,0,0,0,0,45,592,5,0,0,0
Greg Little,Cle,5,78,0,0,0,0,0,0,3,15,0,0,61,709,2,0,0,0
Santana Moss,Was,5,77,0,0,0,0,0,0,0,0,0,0,46,584,4,0,0,0
Johnny Knox,Chi,8,77,0,0,0,0,0,0,0,0,0,0,37,727,2,0,1,0
Demaryius Thomas,Den,6,74,1,0,0,0,0,0,1,5,0,0,32,551,4,0,0,0
Donald Driver,GB,8,74,0,0,0,0,0,0,0,0,0,0,37,445,6,0,0,0
Brandon LaFell,Car,9,73,0,0,0,0,0,0,0,0,0,0,36,613,3,0,0,0
Mario Manningham,NYG,7,71,0,0,0,0,0,0,0,0,0,0,39,523,4,0,0,0
Joshua Cribbs,Cle,5,71,0,0,0,0,0,0,7,25,0,0,41,518,4,0,1,0
Dezmon Briscoe,TB,8,69,0,0,0,0,0,0,0,0,0,0,35,387,6,0,0,0
Andre Roberts,Ari,6,66,0,0,0,0,0,0,3,27,0,0,51,586,2,0,0,0
Jason Avant,Phi,7,66,0,0,0,0,0,0,0,0,0,0,52,679,1,0,2,0
Preston Parker,TB,8,65,0,0,0,0,0,0,1,-3,0,0,40,554,3,0,3,0
Davone Bess,Mia,5,64,0,0,0,0,0,0,2,9,0,0,51,537,3,0,2,0
Kevin Walter,Hou,11,60,0,0,0,0,0,0,0,0,0,0,39,474,3,0,0,0
Roy Williams,Chi,8,58,0,0,0,0,0,0,0,0,0,0,37,507,2,0,0,0
Andre Johnson,Hou,11,58,0,0,0,0,0,0,1,8,0,0,33,492,2,0,0,0
Michael Jenkins,Min,9,58,0,0,0,0,0,0,0,0,0,0,38,466,3,0,2,0
Sidney Rice,Sea,6,57,1,1,55,0,0,0,2,3,0,0,32,484,2,0,0,0
Devery Henderson,NO,11,57,0,0,0,0,0,0,1,9,0,0,32,503,2,0,0,0
Jacoby Jones,Hou,11,56,0,0,0,0,0,0,4,17,0,0,31,512,2,0,0,0
Arrelious Benn,TB,8,56,0,0,0,0,0,0,6,-7,0,0,30,441,3,0,0,0
Brian Hartline,Mia,5,52,0,0,0,0,0,0,1,9,0,0,35,549,1,0,0,0
Ben Obomanu,Sea,6,51,0,0,0,0,0,0,1,13,0,0,37,436,2,0,0,0
Harry Douglas,Atl,8,51,0,0,0,0,0,0,1,3,0,0,39,498,1,0,0,0
Austin Collie,Ind,11,51,0,0,0,0,0,0,0,0,0,0,54,514,1,0,0,0
Danario Alexander,Stl,5,51,0,0,0,0,0,0,0,0,0,0,26,431,2,0,0,0
Golden Tate,Sea,6,50,0,0,0,0,0,0,5,14,0,0,35,382,3,0,0,0
Jason Hill,Jax,9,50,0,0,0,0,0,0,0,0,0,0,25,367,3,0,0,0
Devin Aromashodu,Min,9,48,0,0,0,0,0,0,0,0,0,0,26,468,1,0,0,0
Legedu Naanee,Car,9,47,1,1,27,0,0,0,0,0,0,0,44,467,1,0,0,0
Marcel Reece,Oak,8,46,0,0,0,0,0,0,17,112,0,0,27,301,2,0,1,0
Brandon Gibson,Stl,5,46,0,0,0,0,0,0,2,16,0,0,36,431,1,0,0,0
Andre Caldwell,Cin,7,46,0,0,0,0,0,0,0,0,0,0,37,317,3,0,0,0
Lavelle Hawkins,Ten,6,45,0,0,0,0,0,0,0,0,0,0,47,470,1,0,0,0
Hines Ward,Pit,11,44,0,0,0,0,0,0,0,0,0,0,46,381,2,0,1,0
Mohamed Massaquoi,Cle,5,44,0,0,0,0,0,0,0,0,0,0,31,384,2,0,0,0
Kenny Britt,Ten,6,44,0,0,0,0,0,0,0,0,0,0,17,289,3,0,1,0
Mike Thomas,Jax,9,43,0,0,0,0,0,0,3,11,0,0,44,415,1,0,0,0
Kyle Williams,SF,7,41,0,0,0,0,0,0,2,32,0,0,20,241,3,0,0,0
Dane Sanzenbacher,Chi,8,41,0,0,0,0,0,0,1,-4,0,0,27,276,3,0,0,0
Vincent Brown,SD,6,41,0,0,0,0,0,0,0,0,0,0,19,329,2,0,0,0
Donte' Stallworth,Was,5,39,0,0,0,0,0,0,2,1,0,0,22,309,2,0,0,0
Earl Bennett,Chi,8,39,0,0,0,0,0,0,0,0,0,0,24,381,1,0,1,0
Emmanuel Sanders,Pit,11,38,1,1,15,0,0,0,0,0,0,0,22,288,2,0,0,0
Brad Smith,Buf,7,36,1,0,0,0,1,0,20,87,1,0,23,240,1,0,0,0
Chaz Schilens,Oak,8,35,0,0,0,0,0,0,0,0,0,0,23,271,2,0,0,0
Randall Cobb,GB,8,35,1,0,0,0,0,0,2,5,0,0,25,375,1,0,3,0
Riley Cooper,Phi,7,34,0,0,0,0,0,0,0,0,0,0,16,315,1,0,0,0
Louis Murphy,Oak,8,33,0,0,0,0,0,0,6,69,1,0,15,241,0,0,0,0
