team_id,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,at3,9,at8,2,BYE,15,at17,at20,at29,6,at25,27,16,18,at27,at18,29
2,20,at29,7,at1,at4,BYE,27,13,at20,18,at14,at12,17,11,15,at17,at15
3,1,at27,23,at9,16,at33,29,at18,BYE,9,8,at21,26,at4,at8,5,at16
4,33,34,at9,at5,2,BYE,at23,11,at30,at10,at7,5,23,3,at16,8,at33
5,23,at33,at11,4,20,at34,10,16,BYE,at8,30,at4,at14,9,33,at3,at23
6,19,at7,at22,24,9,BYE,at26,at28,12,at1,21,14,28,at19,at13,25,at21
7,14,6,at2,13,BYE,19,at14,at12,at21,17,4,at13,at15,20,at11,at28,12
8,22,at19,1,at16,29,at18,BYE,23,at9,5,at3,16,at33,at27,3,at4,9
9,25,at1,4,3,at6,at16,18,BYE,8,at3,33,at23,27,at5,at29,16,at8
10,13,at30,25,at34,at15,11,at5,BYE,33,4,at23,at11,34,at22,at26,24,30
11,at24,22,5,at25,26,at10,30,at4,at34,23,BYE,10,at30,at2,7,at33,34
12,at17,21,at14,28,at34,23,at13,7,at6,BYE,at19,2,at20,13,14,15,at7
13,at10,20,at28,at7,33,14,12,at2,at15,BYE,17,7,19,at12,6,at21,at14
14,at7,15,12,21,at19,at13,7,at17,BYE,at30,2,at6,5,28,at12,at20,13
15,BYE,at14,at20,18,10,at1,20,at33,13,at29,27,at17,7,17,at2,at12,2
16,18,at23,27,8,at3,9,33,at5,BYE,at28,24,at8,at1,at29,4,at9,3
17,12,at18,34,29,at27,at20,1,14,BYE,at7,at13,15,at2,at15,at23,2,20
18,at16,17,at29,at15,BYE,8,at9,3,27,at2,28,at24,29,at1,20,1,at27
19,at6,8,at21,at27,14,at7,25,BYE,24,at26,12,at28,at13,6,21,at22,28
20,at2,at13,15,30,at5,17,at15,1,2,at27,BYE,29,12,at7,at18,14,at17
21,at28,at12,19,at14,22,at29,28,26,7,BYE,at6,3,at25,at24,at19,13,6
22,at8,at11,6,26,at21,27,at24,BYE,at26,25,at34,30,24,10,at28,19,at25
23,at5,16,at3,at33,30,at12,4,at8,BYE,at11,10,9,at4,33,17,at34,5
24,11,28,at26,at6,25,at30,22,BYE,at19,34,at16,18,at22,21,at25,at10,26
25,at9,26,at10,11,at24,BYE,at19,34,28,at22,1,at26,21,at30,24,at6,22
26,29,at25,24,at22,at11,at28,6,at21,22,19,BYE,25,at3,at34,10,30,at24
27,BYE,3,at16,19,17,at22,at2,29,at18,20,at15,at1,at9,8,1,at29,18
28,21,at24,13,at12,BYE,26,at21,6,at25,16,at18,19,at6,at14,22,7,at19
29,at26,2,18,at17,at8,21,at3,at27,1,15,BYE,at20,at18,16,9,27,at1
30,at34,10,33,at20,at23,24,at11,BYE,4,14,at5,at22,11,25,34,at26,at10
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,at4,5,at30,23,at13,3,at16,15,at10,BYE,at9,34,8,at23,at5,11,4
34,30,at4,at17,10,12,5,BYE,at25,11,at24,22,at33,at10,26,at30,23,at11
