name,team,long,fpts,patm,pata,patmiss,fgm,fga,r019m,r019a,r2029m,22029a,r3039m,r3039a,r4049m,r4049a,r50m,r50a
Stephen Gostkowski,NE,53,153,66,66,0,29,35,0,0,8,8,10,12,9,13,2,2
Lawrence Tynes,NYG,50,145,46,46,0,33,39,0,0,11,11,14,16,7,9,1,3
Matt Bryant,Atl,55,143,44,44,0,33,38,1,1,8,9,10,11,10,13,4,4
Blair Walsh,Min,56,141,36,36,0,35,38,0,0,10,10,8,9,7,9,10,10
Shayne Graham,Hou,51,138,45,45,0,31,38,1,1,8,8,11,11,7,9,4,9
Jason Hanson,Det,53,134,38,38,0,32,36,1,1,3,3,10,10,16,19,2,3
Matt Prater,Den,53,133,55,55,0,26,32,1,1,7,7,10,11,5,9,3,4
Justin Tucker,Bal,56,132,42,42,0,30,33,0,0,8,8,8,8,10,13,4,4
David Akers,SF,63,131,44,44,0,29,42,1,1,8,9,11,13,7,13,2,6
Dan Bailey,Dal,51,124,37,37,0,29,31,1,1,5,5,13,13,7,7,3,5
Connor Barth,TB,57,123,39,39,0,28,33,0,0,7,7,3,4,12,13,6,9
Stephen Hauschka,Sea,52,118,46,48,2,24,27,1,1,7,7,10,10,5,5,1,4
Sebastian Janikowski,Oak,57,118,25,25,0,31,34,1,1,9,9,10,10,5,5,6,9
Shaun Suisham,Pit,52,118,34,34,0,28,31,0,0,7,8,8,8,12,12,1,3
Phil Dawson,Cle,53,116,29,29,0,29,31,0,0,8,9,8,9,6,6,7,7
Adam Vinatieri,Ind,53,115,37,37,0,26,33,1,1,8,8,4,7,9,10,4,7
Mason Crosby,GB,54,113,50,50,0,21,33,0,0,5,5,5,7,9,12,2,9
Garrett Hartley,NO,53,111,57,57,0,18,22,0,0,9,9,4,6,2,3,3,4
Rob Bironas,Ten,53,110,35,35,0,25,31,0,0,6,6,13,13,5,10,1,2
Alex Henery,Phi,49,106,25,26,1,27,31,0,0,8,9,8,9,11,12,0,1
Rian Lindell,Buf,50,102,39,39,0,21,24,1,1,3,3,10,11,6,7,1,2
Ryan Succop,KC,52,101,17,17,0,28,34,0,0,4,5,12,15,10,12,2,2
Jay Feely,Ari,61,100,25,25,0,25,28,0,0,6,6,9,10,8,10,2,2
Robbie Gould,Chi,54,96,33,33,0,21,25,0,0,7,7,5,7,7,9,2,2
Greg Zuerlein,Stl,60,95,26,26,0,23,31,1,1,4,4,4,6,7,7,7,13
