name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Drew Brees,NO,6,424,670,422,5177,43,19,0,15,5,1,0,0,0,0,0,1,0
Aaron Rodgers,GB,10,411,552,371,4295,39,8,1,54,259,2,0,1,-1,0,0,4,0
Tom Brady,NE,9,397,637,401,4827,34,8,0,23,32,4,0,0,0,0,0,0,0
Peyton Manning,Den,7,380,583,400,4659,37,11,1,23,6,0,0,0,0,0,0,2,0
Matt Ryan,Atl,7,357,615,422,4719,32,14,0,34,141,1,0,0,0,0,0,2,0
Cam Newton,Car,6,350,485,280,3869,19,12,0,127,741,8,0,0,6,0,0,3,0
Robert Griffin III,Was,10,345,393,258,3200,20,5,0,120,815,7,0,0,0,0,0,2,0
Tony Romo,Dal,5,330,648,425,4903,28,19,1,30,49,1,1,1,-1,0,0,3,0
Andrew Luck,Ind,4,315,627,339,4374,23,18,0,62,255,5,0,0,0,0,0,5,0
Russell Wilson,Sea,11,314,393,252,3118,26,10,0,94,489,4,0,0,0,0,0,3,0
Matthew Stafford,Det,5,307,727,435,4967,20,17,1,35,126,4,0,1,3,0,0,4,0
Andy Dalton,Cin,8,297,528,329,3669,27,16,0,47,120,4,0,0,0,0,0,4,0
Josh Freeman,TB,5,289,558,306,4065,27,17,1,39,139,0,0,0,0,0,0,2,0
Eli Manning,NYG,11,277,536,321,3948,26,15,0,20,30,0,0,0,0,0,0,1,0
Joe Flacco,Bal,8,275,531,317,3817,22,10,1,32,22,3,0,0,0,0,0,4,0
Ben Roethlisberger,Pit,4,269,449,284,3265,26,8,1,26,92,0,0,0,0,0,0,3,0
Carson Palmer,Oak,5,263,565,345,4018,22,14,2,18,36,1,0,0,0,0,0,5,0
Sam Bradford,Stl,9,263,551,328,3702,21,13,4,36,124,1,0,0,0,0,0,1,0
Matt Schaub,Hou,8,262,544,350,4008,22,12,0,21,-9,0,0,1,-6,0,0,0,0
Philip Rivers,SD,7,259,527,338,3606,26,15,0,27,40,0,0,0,0,0,0,7,0
Ryan Fitzpatrick,Buf,8,255,505,306,3400,24,16,0,48,197,1,0,0,0,0,0,6,0
Christian Ponder,Min,11,221,483,300,2935,18,12,1,60,253,2,0,1,-15,0,0,5,0
Jay Cutler,Chi,6,214,434,255,3033,19,14,0,41,233,0,0,0,0,0,0,4,0
Ryan Tannehill,Mia,7,199,484,282,3294,12,13,2,49,211,2,0,0,0,0,0,4,0
Colin Kaepernick,SF,9,186,218,136,1814,10,3,0,63,415,5,0,0,0,0,0,2,0
Brandon Weeden,Cle,10,183,517,297,3385,14,17,0,27,111,0,0,0,-9,0,0,1,0
Michael Vick,Phi,7,169,351,204,2362,12,10,0,62,332,1,0,0,0,0,0,5,0
Jake Locker,Ten,11,148,314,177,2176,10,11,0,41,291,1,0,0,0,0,0,4,0
Mark Sanchez,NYJ,9,145,453,246,2883,13,18,0,22,28,0,0,0,0,0,0,8,0
Alex Smith,SF,9,142,218,153,1737,13,5,0,31,132,0,0,0,0,0,0,1,0
Chad Henne,Jax,6,129,308,166,2084,11,11,0,19,64,1,0,1,-6,0,0,2,0
Blaine Gabbert,Jax,6,108,278,162,1662,9,6,2,18,56,0,0,0,0,0,0,3,0
Kevin Kolb,Ari,10,97,183,109,1169,8,3,0,16,100,1,0,0,0,0,0,2,0
Nick Foles,Phi,7,97,265,161,1699,6,5,0,11,42,1,0,0,0,0,0,3,0
Matt Cassel,KC,7,91,277,161,1796,6,12,0,27,145,1,0,0,0,0,0,7,0
Matt Hasselbeck,Ten,11,88,221,138,1367,7,5,1,13,38,0,0,0,0,0,0,1,0
Brady Quinn,KC,7,42,197,112,1141,2,8,0,19,66,0,0,0,0,0,0,0,0
Kirk Cousins,Was,10,40,48,33,466,4,3,0,3,22,0,1,0,0,0,0,0,0
