name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Ray Rice,Bal,5,287,1,1,1,1,0,0,291,1364,12,0,76,704,3,0,2,0
LeSean McCoy,Phi,7,271,0,0,0,0,0,0,273,1309,17,0,48,315,3,0,1,0
Maurice Jones-Drew,Jax,9,250,0,0,0,0,0,0,343,1606,8,0,43,374,3,0,1,0
Arian Foster,Hou,11,241,0,0,0,0,0,0,278,1224,10,0,53,617,2,0,3,0
Michael Turner,Atl,8,205,0,0,0,0,0,0,301,1340,11,0,17,168,0,0,2,0
Marshawn Lynch,Sea,6,205,2,0,0,0,0,0,285,1204,12,0,28,212,1,0,2,0
Adrian Peterson,Min,9,181,0,0,0,0,0,0,208,970,12,0,18,139,1,0,0,0
Ryan Mathews,SD,6,175,0,0,0,0,0,0,222,1091,6,0,50,455,0,0,2,0
Steven Jackson,Stl,5,171,0,0,0,0,0,0,260,1145,5,0,42,333,1,0,1,0
Michael Bush,Oak,8,171,0,0,0,0,0,0,256,977,7,0,37,418,1,0,1,0
Darren Sproles,NO,11,170,0,0,0,0,0,0,87,603,2,0,86,710,7,0,0,0
Reggie Bush,Mia,5,167,0,0,0,0,0,0,216,1086,6,0,43,296,1,0,2,0
Fred Jackson,Buf,7,164,0,0,0,0,0,0,170,934,6,0,39,442,0,0,2,0
Frank Gore,SF,7,164,0,0,0,0,0,0,282,1211,8,0,17,114,0,0,2,0
Beanie Wells,Ari,6,161,0,0,0,0,0,0,245,1047,10,0,10,52,0,0,2,0
Matt Forte,Chi,8,159,1,0,0,0,0,0,203,997,3,0,52,490,1,0,2,0
Chris Johnson,Ten,6,158,0,0,0,0,0,0,262,1047,4,0,57,418,0,0,1,0
Rashard Mendenhall,Pit,11,150,0,0,0,0,0,0,228,928,9,0,18,154,0,0,1,0
Shonn Greene,NYJ,8,148,0,0,0,0,0,0,253,1054,6,0,30,211,0,0,0,0
Willis McGahee,Den,6,147,0,0,0,0,0,0,249,1199,4,1,12,51,1,0,3,0
Ahmad Bradshaw,NYG,7,147,0,0,0,0,0,0,171,659,9,1,34,267,2,0,1,0
Cedric Benson,Cin,7,139,0,0,0,0,0,0,273,1067,6,0,15,82,0,0,2,0
Mike Tolbert,SD,6,138,0,0,0,0,0,0,121,490,8,0,54,433,2,0,1,0
BenJarvus Green-Ellis,NE,7,138,0,0,0,0,0,0,181,667,11,0,9,159,0,0,0,0
Jonathan Stewart,Car,9,133,0,0,0,0,0,0,142,761,4,0,47,413,1,0,0,0
DeAngelo Williams,Car,9,128,0,0,0,0,0,0,155,836,7,0,16,135,0,0,0,0
Pierre Thomas,NO,11,120,0,0,0,0,0,0,110,562,5,0,50,425,1,0,1,0
Ben Tate,Hou,11,118,0,0,0,0,0,0,175,942,4,0,13,98,0,0,3,0
DeMarco Murray,Dal,5,111,0,0,0,0,0,0,164,897,2,0,26,183,0,0,0,0
Brandon Jacobs,NYG,7,111,0,0,0,0,0,0,152,571,7,1,15,128,1,0,0,0
LeGarrette Blount,TB,8,111,0,0,0,0,0,0,184,781,5,0,15,148,0,0,3,0
C.J. Spiller,Buf,7,108,0,0,0,0,0,0,107,561,4,0,39,269,2,0,0,0
Roy Helu,Was,5,107,0,0,0,0,0,0,151,640,2,0,49,379,1,0,2,0
Darren McFadden,Oak,8,101,0,0,0,0,0,0,113,614,4,0,19,154,1,0,1,0
Donald Brown,Ind,11,96,0,0,0,0,0,0,134,645,5,0,16,86,0,0,0,0
Kevin Smith,Det,9,89,0,0,0,0,0,0,72,356,4,0,22,179,3,0,1,0
Ryan Grant,GB,8,87,0,0,0,0,0,0,134,559,2,0,19,268,1,0,1,0
Toby Gerhart,Min,9,84,0,0,0,0,0,0,109,531,1,0,23,190,3,0,0,0
Peyton Hillis,Cle,5,83,0,0,0,0,0,0,161,587,3,0,22,130,0,0,1,0
Dexter McCluster,KC,6,81,0,0,0,0,0,0,114,516,1,0,46,328,1,0,3,0
Jahvid Best,Det,9,80,0,0,0,0,0,0,84,390,2,0,27,287,1,0,0,0
LaDainian Tomlinson,NYJ,8,78,0,0,0,0,0,0,75,280,1,0,42,449,2,0,0,0
Mark Ingram,NO,11,76,0,0,0,0,0,0,122,474,5,0,11,46,0,0,1,0
Marion Barber,Chi,8,75,0,0,0,0,0,0,114,422,6,0,5,50,0,0,1,0
Felix Jones,Dal,5,73,0,0,0,0,0,0,127,575,1,0,33,221,0,0,2,0
James Starks,GB,8,72,0,0,0,0,0,0,133,578,1,0,29,216,0,0,1,0
Jackie Battle,KC,6,70,0,0,0,0,0,0,149,597,2,0,9,68,0,0,0,0
Kendall Hunter,SF,7,69,0,0,0,0,0,0,112,473,2,0,16,195,0,0,0,0
Daniel Thomas,Mia,5,63,0,0,0,0,0,0,165,581,0,0,12,72,1,0,1,0
Isaac Redman,Pit,11,62,0,0,0,0,0,0,110,479,3,0,18,78,0,0,2,0
Maurice Morris,Det,9,56,0,0,0,0,0,0,80,316,1,0,26,230,1,0,0,0
Lance Ball,Den,6,54,0,0,0,0,0,0,96,402,1,0,16,148,1,0,2,0
Danny Woodhead,NE,7,52,0,0,0,0,0,0,77,351,1,2,18,157,0,0,0,0
Ricky Williams,Bal,5,52,0,0,0,0,0,0,108,444,2,0,13,83,0,0,2,0
Bernard Scott,Cin,7,52,1,0,0,0,0,0,112,380,3,0,13,38,0,0,0,0
Tim Hightower,Was,5,48,0,0,0,0,0,0,84,321,1,0,10,78,1,0,0,0
Kahlil Bell,Chi,8,48,0,0,0,0,0,0,79,337,0,0,19,133,1,0,1,0
Chris Ogbonnaya,Hou,11,47,0,0,0,0,0,0,76,340,1,0,23,165,0,0,1,0
Joseph Addai,Ind,11,47,0,0,0,0,0,0,118,433,1,0,15,93,0,0,0,0
Stevan Ridley,NE,7,45,0,0,0,0,0,0,87,441,1,0,3,13,0,0,0,0
LaRod Stephens-Howling,Ari,6,43,0,0,0,0,0,0,43,167,0,0,13,234,2,0,0,0
John Kuhn,GB,8,43,0,0,0,0,0,0,30,78,4,0,15,77,2,0,0,0
Thomas Jones,KC,6,43,0,0,0,0,0,0,153,478,0,0,5,43,0,0,0,0
Carnell Williams,Stl,5,42,0,0,0,0,0,0,87,361,1,0,14,93,0,0,1,0
Delone Carter,Ind,11,41,0,0,0,0,0,0,101,377,2,0,5,18,0,0,3,0
Chris Ivory,NO,11,40,0,0,0,0,0,0,79,374,1,0,0,0,0,0,0,0
Jacquizz Rodgers,Atl,8,38,0,0,0,0,0,0,57,205,1,0,21,188,1,0,1,0
Javon Ringer,Ten,6,37,0,0,0,0,0,0,59,185,1,0,28,187,0,0,1,0
Evan Royster,Was,5,36,0,0,0,0,0,0,56,328,0,0,9,68,0,0,0,0
Earnest Graham,TB,8,32,0,0,0,0,0,0,37,206,0,0,26,163,0,0,0,0
Montario Hardesty,Cle,5,31,0,0,0,0,0,0,88,266,0,0,14,122,0,0,0,0
Keiland Williams,Det,9,30,0,0,0,0,0,0,58,195,2,0,8,62,0,0,1,0
Jason Snelling,Atl,8,30,0,0,0,0,0,0,44,151,0,0,26,179,1,0,0,0
Kregg Lumpkin,TB,8,30,0,0,0,0,0,0,31,105,0,0,41,291,0,0,0,0
D.J. Ware,NYG,7,28,0,0,0,0,0,0,46,163,0,2,27,170,0,0,0,0
Knowshon Moreno,Den,6,28,0,0,0,0,0,0,37,179,0,0,11,101,1,0,1,0
Leon Washington,Sea,6,25,0,0,0,0,0,0,53,248,1,0,10,48,0,0,0,0
Derrick Ward,Hou,11,25,0,0,0,0,0,0,45,154,2,0,0,0,0,0,0,0
Justin Forsett,Sea,6,25,0,0,0,0,0,0,46,145,1,0,23,128,0,0,0,0
Ryan Torain,Was,5,24,0,0,0,0,0,0,59,200,1,0,6,23,0,0,0,0
Tashard Choice,Dal,5,23,0,0,0,0,0,0,57,152,1,0,19,124,0,0,2,0
Mewelde Moore,Pit,11,22,0,0,0,0,0,0,22,157,0,0,11,104,1,0,2,0
Darrel Young,Was,5,20,0,0,0,0,0,0,6,33,1,0,15,146,0,0,0,0
Joe McKnight,NYJ,8,20,0,0,0,0,0,0,43,134,0,0,13,139,0,0,2,0
Le'Ron McClain,KC,6,20,0,0,0,0,0,0,15,51,1,0,14,82,1,0,0,0
Brian Leonard,Cin,7,20,0,0,0,0,0,0,17,85,0,0,22,210,0,0,0,0
Curtis Brinkley,SD,6,20,0,0,0,0,0,0,30,101,1,0,7,41,0,1,0,0
Anthony Dixon,SF,7,19,0,0,0,0,0,0,29,87,2,0,1,6,0,0,0,0
Deji Karim,Jax,9,17,0,0,0,0,0,0,63,130,0,0,14,120,0,0,0,0
Chester Taylor,Ari,6,16,0,0,0,0,0,0,20,77,1,0,14,91,0,0,0,0
Alfonso Smith,Ari,6,16,0,0,0,0,0,0,30,102,1,0,3,21,0,0,0,0
Ovie Mughelli,Atl,8,14,0,0,0,0,0,0,2,1,0,0,4,25,2,0,0,0
Phillip Tanner,Dal,5,13,0,0,0,0,0,0,22,76,1,0,2,19,0,0,0,0
Dion Lewis,Phi,7,13,0,0,0,0,0,0,23,102,1,0,1,-3,0,0,1,0
Jacob Hester,SD,6,13,0,0,0,0,0,0,28,90,0,0,12,48,1,0,0,0
Ronnie Brown,Phi,7,13,0,0,0,0,0,0,42,136,1,0,0,0,0,0,1,0
Steve Slaton,Mia,5,12,0,0,0,0,0,0,24,84,1,0,3,3,0,0,0,0
Jamaal Charles,KC,6,12,0,0,0,0,0,0,12,83,0,0,5,9,1,0,1,0
Lex Hilliard,Mia,5,11,0,0,0,0,0,0,16,41,1,0,5,49,0,0,0,0
Shane Vereen,NE,7,10,0,0,0,0,0,0,15,57,1,0,0,0,0,0,0,0
