name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Jimmy Graham,NO,6,144,0,0,0,0,0,0,0,0,0,0,85,982,9,0,0,0
Rob Gronkowski,NE,9,140,0,0,0,0,0,0,0,0,0,0,55,790,11,0,1,0
Tony Gonzalez,Atl,7,135,0,0,0,0,0,0,0,0,0,0,93,930,8,0,0,0
Heath Miller,Pit,4,125,0,0,0,0,0,0,0,0,0,0,71,816,8,1,0,0
Jason Witten,Dal,5,115,0,0,0,0,0,0,0,0,0,0,110,1039,3,0,0,0
Greg Olsen,Car,6,107,0,0,0,0,0,0,0,0,0,0,69,843,5,0,0,0
Dennis Pitta,Bal,8,103,0,0,0,0,0,0,0,0,0,0,61,669,7,0,0,0
Owen Daniels,Hou,8,100,0,0,0,0,0,0,0,0,0,0,62,716,6,0,0,0
Kyle Rudolph,Min,11,99,0,0,0,0,0,0,0,0,0,0,53,493,9,1,0,0
Brandon Myers,Oak,5,97,0,0,0,0,0,0,0,0,0,0,79,806,4,0,0,0
Jermaine Gresham,Cin,8,95,0,0,0,0,0,0,0,0,0,0,64,737,5,0,1,0
Antonio Gates,SD,7,89,0,0,0,0,0,0,0,0,0,0,49,538,7,0,0,0
Scott Chandler,Buf,8,87,0,0,0,0,0,0,0,0,0,0,43,571,6,0,1,0
Martellus Bennett,NYG,11,86,0,0,0,0,0,0,0,0,0,0,55,626,5,0,0,0
Vernon Davis,SF,9,79,0,0,0,0,0,0,0,0,0,0,41,548,5,0,0,0
Aaron Hernandez,NE,9,74,0,0,0,0,0,0,1,5,0,0,51,483,5,0,0,0
Jermichael Finley,GB,10,73,0,0,0,0,0,0,0,0,0,0,61,667,2,0,1,0
Marcedes Lewis,Jax,6,72,0,0,0,0,0,0,0,0,0,0,52,540,4,0,0,0
Lance Kendricks,Stl,9,70,0,0,0,0,0,0,0,0,0,0,42,519,4,1,0,0
Jared Cook,Ten,11,69,0,0,0,0,0,0,0,0,0,0,44,523,4,0,1,0
Brandon Pettigrew,Det,5,67,0,0,0,0,0,0,0,0,0,0,59,567,3,0,2,0
Brent Celek,Phi,7,66,0,0,0,0,0,0,0,0,0,0,57,684,1,0,1,0
Dallas Clark,TB,5,63,0,0,0,0,0,0,0,0,0,0,47,435,4,0,0,0
Dwayne Allen,Ind,4,63,0,0,0,0,0,0,3,5,0,0,45,521,3,0,0,0
Benjamin Watson,Cle,10,61,0,0,0,0,0,0,0,0,0,0,49,501,3,0,0,0
Jacob Tamme,Den,7,60,0,0,0,0,0,0,0,0,0,0,52,555,2,0,0,0
Joel Dreessen,Den,7,59,0,0,0,0,0,0,0,0,0,0,41,356,5,0,0,0
Anthony Fasano,Mia,7,57,0,0,0,0,0,0,0,0,0,0,41,332,5,1,0,0
Tony Scheffler,Det,5,51,0,0,0,0,0,0,0,0,0,0,42,504,1,0,0,0
Zach Miller,Sea,11,48,0,0,0,0,0,0,0,0,0,0,38,396,3,0,1,0
Delanie Walker,SF,9,47,0,0,0,0,0,0,0,0,0,0,21,344,3,0,1,0
Tony Moeaki,KC,7,45,0,0,0,0,0,0,0,0,0,0,33,453,1,0,0,0
James Casey,Hou,8,44,0,0,0,0,0,0,1,6,0,0,34,330,3,0,0,0
Anthony McCoy,Sea,11,43,0,0,0,0,0,0,0,0,0,0,18,291,3,0,0,0
Dustin Keller,NYJ,9,39,0,0,0,0,0,0,0,0,0,0,28,317,2,0,0,0
Garrett Graham,Hou,8,39,0,0,0,0,0,0,0,0,0,0,28,263,3,0,0,0
Rob Housler,Ari,10,36,0,0,0,0,0,0,0,0,0,0,45,417,0,0,0,0
Coby Fleener,Ind,4,36,0,0,0,0,0,0,0,0,0,0,26,281,2,0,0,0
Tom Crabtree,GB,10,36,0,0,0,0,0,0,0,0,0,0,8,203,3,0,0,0
Logan Paulsen,Was,10,31,0,0,0,0,0,0,0,0,0,0,25,308,1,0,0,0
David Thomas,NO,6,30,0,0,0,0,0,0,0,0,0,0,11,86,4,0,0,0
Kellen Davis,Chi,6,30,0,0,0,0,0,0,0,0,0,0,19,229,2,0,1,0
Fred Davis,Was,10,30,0,0,0,0,0,0,1,1,0,0,24,325,0,0,0,0
Charles Clay,Mia,7,29,0,0,0,0,0,0,0,0,0,0,18,212,2,0,0,0
Craig Stevens,Ten,11,26,0,0,0,0,0,0,0,0,0,0,23,275,1,0,0,0
Jordan Cameron,Cle,10,25,0,0,0,0,0,0,0,0,0,0,20,226,1,0,0,0
Dante Rosario,SD,7,24,0,0,0,0,0,0,0,0,0,0,10,95,3,0,1,0
Clay Harbor,Phi,7,24,0,0,0,0,0,0,0,0,0,0,25,186,2,0,1,0
Luke Stocker,TB,5,19,0,0,0,0,0,0,0,0,0,0,16,165,1,0,0,0
Ed Dickson,Bal,8,17,0,0,0,0,0,0,0,0,0,0,21,225,0,0,0,0
Will Heller,Det,5,16,0,0,0,0,0,0,0,0,0,0,17,150,1,0,0,0
Jed Collins,NO,6,14,0,0,0,0,0,0,0,0,0,0,14,70,2,0,1,0
Lee Smith,Buf,8,12,0,0,0,0,0,0,0,0,0,0,4,13,2,0,0,0
