name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Antonio Brown,Pit,11,239,0,0,0,0,0,0,3,28,0,0,136,1834,10,2,2,0
Julio Jones,Atl,10,226,0,0,0,0,0,0,0,0,0,0,136,1871,8,0,1,0
Brandon Marshall,NYJ,5,225,0,0,0,0,0,0,0,0,0,0,109,1502,14,0,2,0
Allen Robinson,Jax,8,217,0,0,0,0,0,0,0,0,0,0,80,1400,14,0,0,0
Odell Beckham Jr.,NYG,11,216,0,0,0,0,0,0,1,3,0,0,96,1450,13,0,0,0
DeAndre Hopkins,Hou,9,211,0,0,0,0,0,0,0,0,0,0,111,1521,11,1,0,0
Doug Baldwin,Sea,9,184,0,0,0,0,0,0,0,0,0,0,78,1069,14,0,0,0
A.J. Green,Cin,7,180,0,0,0,0,0,0,0,0,0,0,86,1297,10,0,1,0
Eric Decker,NYJ,5,167,0,0,0,0,0,0,0,0,0,0,80,1027,12,0,1,0
Larry Fitzgerald,Ari,9,166,0,0,0,0,0,0,0,0,0,0,109,1215,9,0,2,0
Calvin Johnson,Det,9,165,0,0,0,0,0,0,0,0,0,0,88,1214,9,0,1,0
Brandin Cooks,NO,11,162,0,0,0,0,0,0,8,18,0,0,84,1138,9,0,0,0
Demaryius Thomas,Den,7,158,0,0,0,0,0,0,0,0,0,0,105,1304,6,0,2,0
Allen Hurns,Jax,8,156,0,0,0,0,0,0,0,0,0,0,64,1031,10,0,1,0
Sammy Watkins,Buf,8,152,0,0,0,0,0,0,1,1,0,0,60,1047,9,0,0,0
Jeremy Maclin,KC,9,149,0,0,0,0,0,0,3,14,0,0,87,1088,8,0,1,0
Jarvis Landry,Mia,5,149,1,1,9,0,0,0,18,113,1,0,110,1157,4,1,0,0
Emmanuel Sanders,Den,7,142,0,0,0,0,0,0,3,29,0,0,76,1135,6,0,2,0
Jordan Matthews,Phi,8,140,0,0,0,0,0,0,0,0,0,0,85,997,8,0,1,0
Michael Crabtree,Oak,6,139,0,0,0,0,0,0,0,0,0,0,85,922,9,0,0,0
T.Y. Hilton,Ind,10,135,0,0,0,0,0,0,0,0,0,0,69,1124,5,0,0,0
John Brown,Ari,9,135,0,0,0,0,0,0,3,22,0,0,65,1003,7,0,1,0
